stock,name,ticker,country,base_quarter,forecast_quarter,current_weight,predicted_change_%,predicted_weight,actual_weight,model,error,naive_error,low,high
TW0002330008,Taiwan Semiconductor Manufacturing Co Ltd,2330,TWN,Dec-22,Dec-23,5.685392297389194,-5.911148330709158,5.6313878744923125,7.133606139956388,ridge_a0.1,-1.5022182654640757,-1.4482138425671938,3.260699716296237,9.259405530912305
00700|CHN,Tencent Holdings Ltd,00700,CHN,Dec-22,Dec-23,4.2346449834767945,-5.713347990263102,4.203238736761991,3.7594687606648143,ridge_a0.1,0.4437699760971765,0.47517622281198024,2.267465663019692,6.835788279772425
KR7005930003,Samsung Electronics Co Ltd,005930,KOR,Dec-22,Dec-23,3.304550823590308,-5.815174058251297,3.276500296984925,4.36175901798121,ridge_a0.1,-1.0852587209962845,-1.0572081943909017,1.758798860494122,5.419339731410424
09988|CHN,Alibaba Group Holding Ltd Ordinary Shares,09988,CHN,Dec-22,Dec-23,2.5949032751465646,-4.798499800579078,2.6006493698402986,2.3623926608001544,ridge_a0.1,0.23825670904014418,0.23251061434641018,1.3925979006352496,4.13526057405145
03690|CHN,Meituan Class B,03690,CHN,Dec-22,Dec-23,1.5651317891061087,-5.187747849128856,1.5621840946647896,0.7979221618702244,ridge_a0.1,0.7642619327945652,0.7672096272358844,0.8628358661230431,2.6549844414669637
INE002A01018,Reliance Industries Ltd,RELIANCE,IND,Dec-22,Dec-23,1.4840467087006692,-2.9073868856932874,1.5168778032094699,1.4168827537521544,ridge_a0.1,0.09999504945731541,0.06716395494851479,0.8420669256848864,2.4962686597033863
BRVALEACNOR0,Vale SA,VALE3,BRA,Dec-22,Dec-23,1.0159076138057264,-0.6329289238373781,1.0627069981546249,0.8101378598394842,ridge_a0.1,0.2525691383151407,0.2057697539662422,0.5767769578034255,1.7733737703842591
INE009A01021,Infosys Ltd,INFY,IND,Dec-22,Dec-23,0.9699389889231577,-4.928957068705848,0.9707547220975431,0.9227370392932968,ridge_a0.1,0.04801768280424634,0.047201949629860906,0.5295326115535435,1.5986100972487918
09618|CHN,JD.com Inc Ordinary Shares - Class A,09618,CHN,Dec-22,Dec-23,0.9656523318310289,-5.189026123814525,0.9638206737937259,0.507211939701869,ridge_a0.1,0.456608734091857,0.45844039212916,0.5237250835294254,1.5796761553905336
CNE1000002H1,China Construction Bank Corp Class H,00939,CHN,Dec-22,Dec-23,0.9512664310979605,-2.9676456350029983,0.9717075495705015,0.856374648758815,ridge_a0.1,0.11533290081168657,0.09489178233914553,0.5131970003377976,1.5625564119036632
