stock,name,ticker,country,base_quarter,forecast_quarter,current_weight,predicted_change_%,predicted_weight,actual_weight,model,error,naive_error,low,high
TW0002330008,Taiwan Semiconductor Manufacturing Co Ltd,2330,TWN,Dec-23,Dec-24,6.728185929130747,2.1769223576832073,6.864738407028508,10.96587238779216,ridge_a0.1,-4.101133980763652,-4.237686458661413,,
KR7005930003,Samsung Electronics Co Ltd,005930,KOR,Dec-23,Dec-24,4.113869629928817,1.896174647844391,4.1858300883909285,2.3408231875725467,ridge_a0.1,1.8450069008183818,1.7730464423562702,,
00700|CHN,Tencent Holdings Ltd,00700,CHN,Dec-23,Dec-24,3.5458089948131413,3.449303576260994,3.6628244063874917,4.731724050905828,ridge_a0.1,-1.068899644518336,-1.1859150560926865,,
09988|CHN,Alibaba Group Holding Ltd Ordinary Shares,09988,CHN,Dec-23,Dec-24,2.2281321322814884,3.021036109614103,2.2921342242882616,2.343842054551031,ridge_a0.1,-0.05170783026276915,-0.11570992226954235,,
INE002A01018,Reliance Industries Ltd,RELIANCE,IND,Dec-23,Dec-24,1.3363578560396316,4.444368804980246,1.3937375192843002,1.1726052341512616,ridge_a0.1,0.22113228513303862,0.16375262188837003,,
PDD|CHN,PDD Holdings Inc ADR,PDD,CHN,Dec-23,Dec-24,1.2377887920657018,-2.292272037664622,1.207671037537371,0.9135676447656398,ridge_a0.1,0.29410339277173114,0.324221147300062,,
INE090A01021,ICICI Bank Ltd,ICICIBANK,IND,Dec-23,Dec-24,0.8744369505438996,3.7368875727053052,0.9058053998774179,1.0600296998013607,ridge_a0.1,-0.15422429992394282,-0.18559274925746116,,
INE009A01021,Infosys Ltd,INFY,IND,Dec-23,Dec-24,0.8702956460249542,5.090238219377443,0.913276700240195,0.9901256935037326,ridge_a0.1,-0.07684899326353756,-0.11983004747877835,,
KR7000660001,SK Hynix Inc,000660,KOR,Dec-23,Dec-24,0.8482855651070728,1.1529601596364154,0.8568284219307976,0.8755549910123421,ridge_a0.1,-0.018726569081544575,-0.027269425905269373,,
INE040A01034,HDFC Bank Ltd,HDFCBANK,IND,Dec-23,Dec-24,0.8129491071778634,0.0,0.8117766387638541,1.5870674663495568,naive (no feature history),-0.7752908275857027,-0.7741183591716934,,
CNE1000002H1,China Construction Bank Corp Class H,00939,CHN,Dec-23,Dec-24,0.8077047917700949,4.904488757155923,0.8460965449980824,1.0876904602132136,ridge_a0.1,-0.24159391521513118,-0.2799856684431187,,
BRVALEACNOR0,Vale SA,VALE3,BRA,Dec-23,Dec-24,0.7640957521747113,7.835762740930359,0.8227801214214752,0.4074530289368324,ridge_a0.1,0.4153270924846428,0.3566427232378789,,
03690|CHN,Meituan Class B,03690,CHN,Dec-23,Dec-24,0.7525743020723669,4.7412131166953415,0.7871185993771047,1.3122878958685187,ridge_a0.1,-0.525169296491414,-0.5597135937961518,,
TW0002454006,MediaTek Inc,2454,TWN,Dec-23,Dec-24,0.7099078354183415,1.4488392576352538,0.7191545666907684,0.8929474253347496,ridge_a0.1,-0.1737928586439812,-0.18303958991640812,,
SA0007879113,Al Rajhi Bank,1120,SAU,Dec-23,Dec-24,0.6410799559557724,3.2973339264127004,0.6612634242603413,0.6684962323704435,ridge_a0.1,-0.007232808110102185,-0.027416276414671148,,
TW0002317005,Hon Hai Precision Industry Co Ltd,2317,TWN,Dec-23,Dec-24,0.5984435714168966,4.063881766253684,0.6218654354758861,0.9502850061129444,ridge_a0.1,-0.3284195706370583,-0.3518414346960478,,
INE467B01029,Tata Consultancy Services Ltd,TCS,IND,Dec-23,Dec-24,0.5879850227165093,2.550584774290951,0.6021124337926373,0.5869345944188776,ridge_a0.1,0.015177839373759716,0.0010504282976316892,,
KR7005931001,Samsung Electronics Co Ltd Participating Preferred,005935,KOR,Dec-23,Dec-24,0.5631973598331366,2.4179957788705893,0.5759835414163856,0.33598213666421256,ridge_a0.1,0.24000140475217308,0.227215223168924,,
BRPETRACNPR6,Petroleo Brasileiro SA Petrobras Participating Preferred,PETR4,BRA,Dec-23,Dec-24,0.51555731680769,0.7525316183173716,0.5186878952949792,0.35089889114613315,ridge_a0.1,0.167789004148846,0.16465842566155686,,
09999|CHN,NetEase Inc Ordinary Shares,09999,CHN,Dec-23,Dec-24,0.49272499140904924,3.984778981783893,0.5116200482330241,0.46769457172201184,ridge_a0.1,0.04392547651101225,0.025030419687037397,,
09618|CHN,JD.com Inc Ordinary Shares - Class A,09618,CHN,Dec-23,Dec-24,0.4783858498543474,5.024856279325486,0.501699434777746,0.5868614730733779,ridge_a0.1,-0.08516203829563185,-0.10847562321903048,,
BRITUBACNPR1,Itau Unibanco Holding SA Participating Preferred,ITUB4,BRA,Dec-23,Dec-24,0.47809505607456676,1.994198904252377,0.48692594365822867,0.32628833543226415,ridge_a0.1,0.1606376082259645,0.1518067206423026,,
ID1000109507,PT Bank Central Asia Tbk,BBCA,IDN,Dec-23,Dec-24,0.4769419083271606,3.239806176438072,0.49168375113018303,0.450385704651604,ridge_a0.1,0.04129804647857904,0.02655620367555661,,
09888|CHN,Baidu Inc,09888,CHN,Dec-23,Dec-24,0.4746255854606318,2.85211669068369,0.4874584131575152,0.32912962200024903,ridge_a0.1,0.15832879115726617,0.1454959634603828,,
ZAE000325783,Naspers Ltd Class N,NPN,ZAF,Dec-23,Dec-24,0.45103117981153157,0.0,0.45038068421790434,0.5081097839702969,naive (no feature history),-0.0577290997523926,-0.05707860415876537,,
CNE1000003G1,Industrial And Commercial Bank Of China Ltd Class H,01398,CHN,Dec-23,Dec-24,0.4483538715632061,1.3876262775023545,0.45391974056386775,0.6325727599171348,ridge_a0.1,-0.17865301935326705,-0.1842188883539287,,
01810|CHN,Xiaomi Corp Class B,01810,CHN,Dec-23,Dec-24,0.4330621296954296,1.7013305470984175,0.4397947419318454,0.9244209416190821,ridge_a0.1,-0.48462619968723664,-0.49135881192365244,,
SA13L050IE10,Saudi National Bank,1180,SAU,Dec-23,Dec-24,0.42765737634019585,2.399116118832352,0.4372857910630859,0.35405355490911644,ridge_a0.1,0.08323223615396946,0.07360382143107941,,
CNE1000001Z5,Bank Of China Ltd Class H,03988,CHN,Dec-23,Dec-24,0.42654433807965597,3.2729195265756736,0.4398694770045076,0.4959611947108615,ridge_a0.1,-0.05609171770635385,-0.0694168566312055,,
CNE1000003X6,Ping An Insurance (Group) Co. of China Ltd Class H,02318,CHN,Dec-23,Dec-24,0.42537113558881673,4.800174370822628,0.44514675571471407,0.5388103031736334,ridge_a0.1,-0.09366354745891936,-0.1134391675848167,,
INE238A01034,Axis Bank Ltd,532215,IND,Dec-23,Dec-24,0.42511042392418585,1.7696359383970197,0.4320093692997021,0.38668656681494284,ridge_a0.1,0.04532280248475923,0.03842385710924301,,
BRPETRACNOR9,Petroleo Brasileiro SA Petrobras,PETR3,BRA,Dec-23,Dec-24,0.4218214460011493,2.1426737634906696,0.43023829998704033,0.32706133251326003,ridge_a0.1,0.1031769674737803,0.09476011348788926,,
INE018A01030,Larsen & Toubro Ltd,LT,IND,Dec-23,Dec-24,0.404333709727443,2.296185238181719,0.4130214239626494,0.38523458581145054,ridge_a0.1,0.027786838151198867,0.019099123915992444,,
CNE100000296,BYD Co Ltd Class H,01211,CHN,Dec-23,Dec-24,0.40393261485878,-0.793686507686965,0.4001487118399367,0.4850452224184195,ridge_a0.1,-0.0848965105784828,-0.0811126075596395,,
INE397D01024,Bharti Airtel Ltd,BHARTIARTL,IND,Dec-23,Dec-24,0.3944567485866169,1.0062138450405738,0.39785120099888593,0.6450974018105681,ridge_a0.1,-0.24724620081168214,-0.2506406532239512,,
KR7005490008,POSCO Holdings Inc,005490,KOR,Dec-23,Dec-24,0.3942762558957185,3.4099165562236826,0.407132715704391,0.16405296158162724,ridge_a0.1,0.24307975412276378,0.23022329431409128,,
INE030A01027,Hindustan Unilever Ltd,500696,IND,Dec-23,Dec-24,0.3715742863293933,3.7505143515631447,0.3849542346571235,0.30294173440488836,ridge_a0.1,0.08201250025223511,0.06863255192450496,,
MXP370711014,Grupo Financiero Banorte SAB de CV Class O,GFNORTEO,MEX,Dec-23,Dec-24,0.3702707280062386,1.4913060637645137,0.3752506143883968,0.22643591519929535,ridge_a0.1,0.14881469918910145,0.14383481280694327,,
MXP320321310,Fomento Economico Mexicano SAB de CV Units Cons. Of 1 Shs-B- And 4 Shs-D-,FEMSAUBD,MEX,Dec-23,Dec-24,0.358779360019044,0.21718708498934813,0.3590400123758522,0.202817720602921,ridge_a0.1,0.1562222917729312,0.15596163941612298,,
INE237A01028,Kotak Mahindra Bank Ltd,KOTAKBANK,IND,Dec-23,Dec-24,0.3556307653000395,-1.024222213405479,0.35148066407491424,0.30943908824785377,ridge_a0.1,0.04204157582706047,0.04619167705218574,,
ID1000118201,PT Bank Rakyat Indonesia (Persero) Tbk Registered Shs Series -B-,BBRI,IDN,Dec-23,Dec-24,0.3523117052618533,2.606640305895047,0.36097384102187097,0.233455564367258,ridge_a0.1,0.12751827665461296,0.11885614089459529,,
INE296A01024,Bajaj Finance Ltd,500034,IND,Dec-23,Dec-24,0.34002817490904924,3.4064409776105182,0.35110392619688124,0.3013852943363966,ridge_a0.1,0.04971863186048464,0.03864288057265264,,
SA14TG012N13,Saudi Arabian Oil Co,2222,SAU,Dec-23,Dec-24,0.32633078514420816,0.6335668678301001,0.3279246794211992,0.5835605666193954,ridge_a0.1,-0.2556358871981962,-0.2572297814751872,,
KR7035420009,NAVER Corp,035420,KOR,Dec-23,Dec-24,0.32290142401713956,2.2628233743050328,0.3297318732852316,0.26482462158659115,ridge_a0.1,0.06490725169864048,0.05807680243054841,,
MX01WA000038,Wal - Mart de Mexico SAB de CV,WALMEX,MEX,Dec-23,Dec-24,0.31122956333904656,2.3760935236149194,0.31816513532286095,0.18392107574452154,ridge_a0.1,0.1342440595783394,0.127308487594525,,
KW0EQ0100010,National Bank of Kuwait SAK,NBK,KWT,Dec-23,Dec-24,0.30770995586652883,3.845493201165656,0.3190820634432126,0.3104001116458487,ridge_a0.1,0.008681951797363918,-0.0026901557793198583,,
KR7005380001,Hyundai Motor Co,005380,KOR,Dec-23,Dec-24,0.3062660143393421,2.9766010641433303,0.31492747449797864,0.26529468737908857,ridge_a0.1,0.049632787118890076,0.04097132696025352,,
SA0007879543,Saudi Telecom Co,7010,SAU,Dec-23,Dec-24,0.30549390671716586,-1.237324478912369,0.3012788116346692,0.28484942434698457,ridge_a0.1,0.016429387287684616,0.020644482370181294,,
02015|CHN,Li Auto Inc Ordinary Shares - Class A,02015,CHN,Dec-23,Dec-24,0.30511286659193604,-1.864492314374011,0.2989922190314472,0.20292217966792045,ridge_a0.1,0.09607003936352673,0.10219068692401559,,
