stock,name,ticker,country,sector,base_quarter,current_weight,predicted_weight,low,mid,high,predicted_change_%,model
TW0002330008,Taiwan Semiconductor Manufacturing Co Ltd,2330,TWN,Technology,Aug-26,15.272518739226806,15.357854476331967,9.251814737505557,14.546833604885364,24.098081771267452,-4.395585238487931,ridge_a0.1
KR7005930003,Samsung Electronics Co Ltd,005930,KOR,Technology,Aug-26,7.08765452045642,7.515089059462932,4.294799328653225,7.151775289874981,12.759031510905755,0.8067602124807782,ridge_a0.1
KR7000660001,SK hynix Inc,000660,KOR,Technology,Aug-26,5.383400082379486,5.7489547029032995,3.3973458275651516,5.431826135336797,9.986492513830584,1.5290437592466093,ridge_a0.1
00700|CHN,Tencent Holdings Ltd,00700,CHN,Communication Services,Aug-26,2.8945948767662473,2.7367071230226907,1.6110032500731186,2.6177647202191987,4.557097220402712,-10.112645379512095,ridge_a0.1
09988|CHN,Alibaba Group Holding Ltd Ordinary Shares,09988,CHN,Consumer Cyclical,Aug-26,1.9689338877049471,1.8380536226996873,1.0106964441051862,1.708858733559182,3.025881071078667,-11.246577491594117,ridge_a0.1
TW0002454006,MediaTek Inc,2454,TWN,Technology,Aug-26,1.4735236806921403,1.5517360711022044,0.8647411573851139,1.4695000506854818,2.6452902383830685,0.11952993218573016,ridge_a0.1
TW0002308004,Delta Electronics Inc,2308,TWN,Technology,Aug-26,0.9133150983223328,0.9313574666265864,0.5249385061789573,0.8800436989639451,1.4885433860011066,-3.0486570216565063,ridge_a0.1
KR7005931001,Samsung Electronics Co Ltd Participating Preferred,005935,KOR,Technology,Aug-26,0.887469963932147,0.92799734109101,0.5191712116263026,0.8770799184485265,1.5917300035761195,-0.5851791304543497,ridge_a0.1
TW0002317005,Hon Hai Precision Industry Co Ltd,2317,TWN,Technology,Aug-26,0.7916514098134687,0.787370087971629,0.43276526499760837,0.7508961797447637,1.3547216985451012,-5.440974380682007,ridge_a0.1
CNE1000002H1,China Construction Bank Corp Class H,00939,CHN,Financial Services,Aug-26,0.7950412644599114,0.7855727246275492,0.44844927927695954,0.7359090057374356,1.4261975656928159,-6.059083705272136,ridge_a0.1
INE040A01034,HDFC Bank Ltd,HDFCBANK,IND,Financial Services,Aug-26,0.7084194461719665,0.6534977101621777,0.36214793271927576,0.6185733107725302,1.1655877599394688,-12.297562874584104,ridge_a0.1
INE002A01018,Reliance Industries Ltd,RELIANCE,IND,Energy,Aug-26,0.665534776147739,0.6224371328426058,0.3522344805973182,0.5909619548340979,1.1339507035607994,-11.08340857694214,ridge_a0.1
INE090A01021,ICICI Bank Ltd,ICICIBANK,IND,Financial Services,Aug-26,0.6289484159399792,0.6095791093253209,0.34171684546064074,0.576426502724694,1.0422083241388445,-7.85471592358151,ridge_a0.1
KR7402340004,SK Square,402340,KOR,Technology,Aug-26,0.560318903083153,0.5930140753212442,0.33223732843290243,0.5553414384922934,1.0676104225331025,0.6208063326420127,ridge_a0.1
TW0003711008,ASE Technology Holding Co Ltd,3711,TWN,Technology,Aug-26,0.5303116690531043,0.5343411412965863,0.3151690902520094,0.509713644624974,0.908664506173908,-4.204414509015439,ridge_a0.1
CNE1000003G1,Industrial And Commercial Bank Of China Ltd Class H,01398,CHN,Financial Services,Aug-26,0.49981300639087894,0.49790724803871245,0.28120604889735046,0.46653736667946566,0.7662717250696266,-5.289318665800128,ridge_a0.1
GB00BRXH2664,Anglogold Ashanti PLC,AU,USA,Basic Materials,Aug-26,0.4737672888855191,0.49529584947681876,0.28312487732300223,0.4683905659940817,0.8844480691885331,-0.6065689038762867,ridge_a0.1
KR7009150004,Samsung Electro-Mechanics Co Ltd,009150,KOR,Technology,Aug-26,0.46974559742627797,0.486401385544268,0.27663563472209307,0.4605106941164807,0.8647221746409934,-1.5557962059437047,ridge_a0.1
01810|CHN,Xiaomi Corp Class B,01810,CHN,Technology,Aug-26,0.49249172268702346,0.4675300253797933,0.2592134589674574,0.43847995436274345,0.7811141536471451,-9.745547250688864,ridge_a0.1
TW0002383007,Elite Material Co Ltd,2383,TWN,Technology,Aug-26,0.4030817990981582,0.423969995400437,0.24092605861954883,0.40189103277812094,0.717950903061927,0.0,naive (no feature history)
INE397D01024,Bharti Airtel Ltd,BHARTIARTL,IND,Communication Services,Aug-26,0.43799329029421435,0.4220008976111547,0.23500462705684316,0.3983735238086358,0.7680107345371697,-8.398205199225586,ridge_a0.1
BRVALEACNOR0,Vale SA,VALE3,BRA,Basic Materials,Aug-26,0.4326276919633065,0.419741915723268,0.23854505262440912,0.39780439302499965,0.7571359523730884,-7.758556308759637,ridge_a0.1
NU|BRA,Nu Holdings Ltd Ordinary Shares Class A,NU,BRA,Financial Services,Aug-26,0.422478186335496,0.41011695412630933,0.2309332712426218,0.387779327749607,0.7360306305188304,-7.708543668379889,ridge_a0.1
SA0007879113,Al Rajhi Bank,1120,SAU,Financial Services,Aug-26,0.43376098656404033,0.4049955032926128,0.22217920548715672,0.38667926574688233,0.720977460872875,-11.231725282006916,ridge_a0.1
TW0003037008,Unimicron Technology Corp,3037,TWN,Technology,Aug-26,0.3808973065599003,0.39906915273092625,0.23269579715822353,0.3760092602203967,0.7494494711908094,-0.3910589255367386,ridge_a0.1
TW0002303005,United Microelectronics Corp,2303,TWN,Technology,Aug-26,0.3769658775024875,0.3900567498678656,0.22234180780121723,0.37045972925912507,0.7301217599432369,-1.6252088362792183,ridge_a0.1
03690|CHN,Meituan Class B,03690,CHN,Consumer Cyclical,Aug-26,0.40266057455629267,0.38767254210825164,0.22385391497272455,0.37010249903887804,0.7054727097812324,-8.465671667662455,ridge_a0.1
CNE1000001Z5,Bank Of China Ltd Class H,03988,CHN,Financial Services,Aug-26,0.38892063116686526,0.3836342295609584,0.21547689733644154,0.36099215875611956,0.6793187957829901,-6.219091868258012,ridge_a0.1
PDD|CHN,PDD Holdings Inc ADR,PDD,CHN,Consumer Cyclical,Aug-26,0.3943062878092904,0.3814297019137857,0.22374127621765494,0.3655048044439002,0.6926167244973613,-8.031549007994384,ridge_a0.1
CNE1000003X6,Ping An Insurance (Group) Co. of China Ltd Class H,02318,CHN,Financial Services,Aug-26,0.38355503283595743,0.364128015498701,0.20077184127571585,0.34065000934067924,0.6235329831194801,-9.742255938865005,ridge_a0.1
ZAE000018123,Gold Fields Ltd,GFI,ZAF,Basic Materials,Aug-26,0.3456749115353243,0.35515811896215094,0.2026662753467853,0.33790976566540365,0.6361139344893693,-2.318582625046986,ridge_a0.1
KR7105560007,KB Financial Group Inc,105560,KOR,Financial Services,Aug-26,0.3590939219404731,0.3541896550753698,0.20621865987239682,0.3333063158911622,0.6287426340068214,-6.225256677451438,ridge_a0.1
09999|CHN,NetEase Inc Ordinary Shares,09999,CHN,Communication Services,Aug-26,0.34745007210461537,0.34185945380069355,0.18978073675929258,0.3241024065179434,0.6488882216147872,-6.456577793302492,ridge_a0.1
CNE100000296,BYD Co Ltd Class H,01211,HKG,Consumer Cyclical,Aug-26,0.34910488280480184,0.3408069385617193,0.18641410138186612,0.3252479857558531,0.5709752275788229,-7.186623833341502,ridge_a0.1
SA14TG012N13,Saudi Arabian Oil Co,2222,SAU,Energy,Aug-26,0.3399582927528619,0.3291653304510277,0.1839578155233361,0.30961179930245053,0.5390788379337538,-7.945184285331671,ridge_a0.1
MXP370841019,Grupo Mexico SAB de CV Class B,GMEXICOB,MEX,Basic Materials,Aug-26,0.31914779455354664,0.3280600647811598,0.18623395136762017,0.3098055275030993,0.522745740777153,-2.2718709346495727,ridge_a0.1
BRITUBACNPR1,Itau Unibanco Holding SA Participating Preferred,ITUB4,BRA,Financial Services,Aug-26,0.33029018660146914,0.3260030784237712,0.18455431097632327,0.3088809075093767,0.5855540605566513,-6.160843223148094,ridge_a0.1
ZAE000351946,Naspers Ltd Class N,NPN,ZAF,Consumer Cyclical,Aug-26,0.3035223698814825,0.31925127368810996,0.17913241042815164,0.30362451621844344,0.6012468635076225,0.0,naive (no feature history)
KR7005380001,Hyundai Motor Co,005380,KOR,Consumer Cyclical,Aug-26,0.31427362485481547,0.3139987302168495,0.17128454364574017,0.29327060340467004,0.5806396958274561,-5.00997040802936,ridge_a0.1
TW0002881000,Fubon Financial Holdings Co Ltd,2881,TWN,Financial Services,Aug-26,0.3101115252149524,0.3042045694619321,0.1658784423320408,0.28895893880107054,0.5579903589980495,-6.737749269582505,ridge_a0.1
BRPETRACNPR6,Petroleo Brasileiro SA Petrobras Participating Preferred,PETR4,BRA,Energy,Aug-26,0.29680283552314934,0.30278327051986287,0.17382215808419327,0.28662401810118276,0.5606860833654616,-3.01113079347477,ridge_a0.1
TW0002345006,Accton Technology Corp,2345,TWN,Technology,Aug-26,0.2750796841497919,0.2832952064656465,0.15854826094324956,0.27100122663952286,0.5211660344652121,-2.087356752069494,ridge_a0.1
BRPETRACNOR9,Petroleo Brasileiro SA Petrobras,PETR3,BRA,Energy,Aug-26,0.2770654569900157,0.2816081410018023,0.160032611794117,0.2656527641990243,0.5143684192087774,-3.368017888427416,ridge_a0.1
INE009A01021,Infosys Ltd,INFY,IND,Technology,Aug-26,0.29554919105331107,0.2794171258293597,0.14717527811091838,0.2624863921501813,0.46097080342268704,-10.116223335869693,ridge_a0.1
TW0003017000,Asia Vital Components Co Ltd,3017,TWN,Technology,Aug-26,0.27829904314833653,0.278142719090857,0.15627154442456753,0.26436912954553476,0.43750174293940974,-4.980213841877953,ridge_a0.1
TW0001303006,Nan Ya Plastics Corp,1303,TWN,Basic Materials,Aug-26,0.26869111193149603,0.2776010943090291,0.15807965056392673,0.2627002322339347,0.48991372061886157,-1.7741175639471696,ridge_a0.1
TW0002891009,CTBC Financial Holding Co Ltd,2891,TWN,Financial Services,Aug-26,0.2753203838880008,0.2718019140128396,0.1513583535595342,0.25724203151724073,0.5115696631322565,-6.141802370874511,ridge_a0.1
